"","job_ad_id","job_city","job_industry","job_type","job_fed_contractor","job_equal_opp_employer","job_ownership","job_req_any","job_req_communication","job_req_education","job_req_min_experience","job_req_computer","job_req_organization","job_req_school","received_callback","firstname","race","gender","years_college","college_degree","honors","worked_during_school","years_experience","computer_skills","special_skills","volunteer","military","employment_holes","has_email_address","resume_quality"
"5",385,"Chicago","other_service","secretary",0,1,"nonprofit",1,0,0,"some",1,1,"none_listed",0,"Carrie","white","f",3,0,0,1,22,1,0,0,0,0,1,"high"
"6",386,"Chicago","wholesale_and_retail_trade","sales_rep",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Jay","white","m",4,1,1,0,6,0,1,0,0,0,0,"low"
"7",386,"Chicago","wholesale_and_retail_trade","sales_rep",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Jill","white","f",4,1,0,1,5,1,1,1,0,0,1,"high"
"8",385,"Chicago","other_service","secretary",0,1,"nonprofit",1,0,0,"some",1,1,"none_listed",0,"Kenya","black","f",3,0,0,0,21,1,1,1,0,1,1,"high"
"9",386,"Chicago","wholesale_and_retail_trade","sales_rep",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Latonya","black","f",4,1,0,0,3,1,1,0,0,0,0,"low"
"10",386,"Chicago","wholesale_and_retail_trade","sales_rep",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Tyrone","black","m",4,1,0,1,6,0,1,1,0,0,1,"high"
"11",387,"Chicago","other_service","secretary",0,1,"nonprofit",1,0,0,"some",1,0,"none_listed",0,"Aisha","black","f",4,1,0,0,8,1,1,1,0,1,1,"high"
"12",387,"Chicago","other_service","secretary",0,1,"nonprofit",1,0,0,"some",1,0,"none_listed",0,"Allison","white","f",4,1,0,1,8,1,0,0,0,0,1,"high"
"13",388,"Chicago","business_and_personal_service","secretary",0,1,"private",1,1,0,"",1,1,"none_listed",0,"Aisha","black","f",4,1,0,0,4,1,1,0,0,1,0,"low"
"14",388,"Chicago","business_and_personal_service","secretary",0,1,"private",1,1,0,"",1,1,"none_listed",0,"Carrie","white","f",4,1,0,1,4,1,0,0,0,0,0,"low"
"19",390,"Chicago","wholesale_and_retail_trade","retail_sales",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Jill","white","f",4,1,1,1,6,0,1,1,0,0,1,"high"
"20",390,"Chicago","wholesale_and_retail_trade","retail_sales",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Latonya","black","f",2,0,0,0,8,0,0,0,0,1,0,"low"
"21",390,"Chicago","wholesale_and_retail_trade","retail_sales",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Leroy","black","m",4,1,0,1,4,1,1,1,0,0,1,"high"
"22",390,"Chicago","wholesale_and_retail_trade","retail_sales",0,0,"private",0,0,0,"",0,0,"none_listed",0,"Todd","white","m",4,1,0,0,3,1,1,0,0,0,0,"low"
"23",392,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",1,0,1,"",0,0,"some_college",0,"Allison","white","f",2,0,0,0,2,0,0,0,0,0,0,"low"
"24",391,"Chicago","other_service","secretary",1,0,"nonprofit",1,0,1,"some",1,0,"college",0,"Carrie","white","f",4,1,0,0,7,1,0,0,0,1,0,"low"
"25",392,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",1,0,1,"",0,0,"some_college",0,"Greg","white","m",4,1,0,0,3,1,1,1,0,0,1,"high"
"26",391,"Chicago","other_service","secretary",1,0,"nonprofit",1,0,1,"some",1,0,"college",0,"Keisha","black","f",4,1,0,1,6,1,0,0,0,1,0,"low"
"27",392,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",1,0,1,"",0,0,"some_college",0,"Keisha","black","f",1,0,0,0,4,1,1,1,0,0,1,"high"
"28",391,"Chicago","other_service","secretary",1,0,"nonprofit",1,0,1,"some",1,0,"college",0,"Kristen","white","f",3,0,0,0,6,1,1,1,0,1,1,"high"
"29",391,"Chicago","other_service","secretary",1,0,"nonprofit",1,0,1,"some",1,0,"college",0,"Lakisha","black","f",3,0,0,1,7,1,0,0,0,0,1,"high"
"30",392,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",1,0,1,"",0,0,"some_college",0,"Tamika","black","f",4,1,0,0,2,1,1,0,0,0,0,"low"
"36",394,"Chicago","business_and_personal_service","clerical",0,1,"private",1,1,0,"3",1,0,"none_listed",0,"Jill","white","f",3,0,0,1,5,1,0,1,0,0,1,"high"
"37",394,"Chicago","business_and_personal_service","clerical",0,1,"private",1,1,0,"3",1,0,"none_listed",0,"Keisha","black","f",4,1,0,0,4,1,0,0,0,1,0,"low"
"39",394,"Chicago","business_and_personal_service","clerical",0,1,"private",1,1,0,"3",1,0,"none_listed",0,"Lakisha","black","f",3,0,0,1,4,1,0,1,1,0,1,"high"
"41",394,"Chicago","business_and_personal_service","clerical",0,1,"private",1,1,0,"3",1,0,"none_listed",0,"Meredith","white","f",4,1,1,0,5,1,0,0,0,1,0,"low"
"47",397,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",0,0,0,"",0,0,"none_listed",0,"Brad","white","m",0,0,0,0,4,1,1,1,0,1,1,"high"
"48",397,"Chicago","wholesale_and_retail_trade","manager",0,0,"unknown",0,0,0,"",0,0,"none_listed",0,"Latoya","black","f",4,1,0,1,5,0,1,1,0,0,1,"high"
"49",398,"Chicago","other_service","secretary",0,0,"public",1,0,0,"",0,0,"none_listed",0,"Kristen","white","f",4,1,0,0,4,1,0,0,0,1,0,"low"
"50",398,"Chicago","other_service","secretary",0,0,"public",1,0,0,"",0,0,"none_listed",0,"Latonya","black","f",4,1,0,1,5,1,1,0,0,0,1,"high"
"51",398,"Chicago","other_service","secretary",0,0,"public",1,0,0,"",0,0,"none_listed",0,"Latoya","black","f",4,1,0,1,6,1,0,0,0,1,0,"low"
"52",398,"Chicago","other_service","secretary",0,0,"public",1,0,0,"",0,0,"none_listed",0,"Laurie","white","f",4,1,0,1,6,1,0,1,0,0,1,"high"
"53",399,"Chicago","finance_insurance_real_estate","secretary",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Allison","white","f",4,1,0,1,13,1,1,0,0,1,0,"low"
"54",399,"Chicago","finance_insurance_real_estate","secretary",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Ebony","black","f",4,1,1,0,19,1,1,0,0,1,0,"low"
"55",400,"Chicago","wholesale_and_retail_trade","manager",1,0,"private",1,0,0,"some",0,0,"none_listed",0,"Jay","white","m",2,0,0,1,5,0,0,1,0,0,1,"high"
"56",399,"Chicago","finance_insurance_real_estate","secretary",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Keisha","black","f",4,1,0,0,7,1,1,0,1,1,1,"high"
"57",399,"Chicago","finance_insurance_real_estate","secretary",0,0,"private",1,0,0,"some",0,0,"none_listed",0,"Laurie","white","f",4,1,0,1,21,1,0,0,0,1,1,"high"
"58",400,"Chicago","wholesale_and_retail_trade","manager",1,0,"private",1,0,0,"some",0,0,"none_listed",0,"Tyrone","black","m",2,0,0,1,5,0,1,1,0,0,1,"high"
"63",403,"Chicago","other_service","manager",0,0,"unknown",0,0,0,"",0,0,"none_listed",0,"Allison","white","f",0,0,0,0,5,1,1,1,0,0,1,"high"
"64",402,"Chicago","manufacturing","secretary",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Carrie","white","f",4,1,0,0,6,0,0,0,0,0,0,"low"
"65",403,"Chicago","other_service","manager",0,0,"unknown",0,0,0,"",0,0,"none_listed",0,"Ebony","black","f",4,1,0,1,6,0,0,1,0,0,1,"high"
"66",402,"Chicago","manufacturing","secretary",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Kenya","black","f",4,1,0,0,6,1,1,0,0,1,0,"low"
"67",402,"Chicago","manufacturing","secretary",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Lakisha","black","f",4,1,1,1,6,1,0,0,0,1,1,"high"
"68",402,"Chicago","manufacturing","secretary",0,1,"private",0,0,0,"",0,0,"none_listed",0,"Laurie","white","f",3,0,0,1,4,1,0,1,1,0,1,"high"
"69",404,"Chicago","business_and_personal_service","clerical",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Aisha","black","f",4,1,0,0,8,1,0,1,0,1,1,"high"
"70",404,"Chicago","business_and_personal_service","clerical",0,0,"private",1,1,0,"",1,1,"none_listed",0,"Anne","white","f",4,1,0,1,5,1,0,0,0,1,0,"low"
"71",405,"Chicago","wholesale_and_retail_trade","retail_sales",0,1,"unknown",0,0,0,"",0,0,"none_listed",0,"Brendan","white","m",4,1,0,0,5,0,1,1,0,0,1,"high"
"72",405,"Chicago","wholesale_and_retail_trade","retail_sales",0,1,"unknown",0,0,0,"",0,0,"none_listed",0,"Hakim","black","m",1,0,0,0,5,1,1,1,0,0,1,"high"
